1860–69,1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
,,Arvo,Ernst,Vil­helm,Edvin,Åke
,,Eeme­li,Veik­ko,Georg,Voit­to,Veijo
,,An­selm,Kosti,Hen­rik,Alek­san­der,Vieno
,,Ernst,Han­nes,Edvin,Vik­tor,Sa­ka­ri
,,Ju­lius,Pie­ta­ri,Toimi,Art­tu­ri,Kosti
,,Ta­ne­li,Ro­bert,Aksel,Bror,Heino
,,Sa­lo­mon,Joo­sep­pi,Uno,Runar,Timo
,,Art­tu­ri,Ivar,Pent­ti,Vih­to­ri,Pert­ti
,,Kusti,Ju­lius,Elias,Bir­ger,Ensio
,,Eevert,Isak,Elis,Teuvo,Kurt
,,,,,Harry,
